자치구,총 도시림 면적,생활권 도시림 면적,1인당 총 도시림 면적,1인당 생활권 도시림 면적,1인당 생활권 도시림 면적(산림수목),1인당 생활권 도시림 면적(공원녹지)
서울시,147012527.39000002,43149798.59,14.913885976927446,4.3773900600420435,0.9295991671659518,3.447790892876092
강남구 ,12494923.39,3006808.39,22.466257057270877,5.406334084910206,1.5882365633158564,3.8180975215943502
강동구,5896458,2278818,13.517072689885678,5.223974893575075,2.9513024301790596,2.2726724633960154
강북구,10984814,1615574,33.85369777396996,4.978978608785161,0.2644886109732833,4.714489997811877
강서구,6393579,2422321,10.626017341126923,4.025855464017245,0.22035895501179176,3.805496509005453
관악구,7470633,477195,14.84338869494553,0.9481379781719342,0.43936482832204443,0.5087731498498899
광진구,3844377,1029199,10.747399378814269,2.8772445296796505,0.961110194770522,1.9161343349091284
구로구,1238397,831619,3.0150240296828668,2.0246748567227115,0.6459407608669189,1.3787340958557928
금천구,2985922,374664,12.697729998213937,1.5932707927570868,1.21762334470177,0.37564744805531697
노원구,14289697,1433620,25.774927264102107,2.5858806680339033,0.6610101316190569,1.9248705364148462
도봉구,2950855,1410050,8.573929441025552,4.097005514780658,0.5705909357693671,3.526414579011291
동대문구,1631698.2,990399.2,4.6533927282994005,2.824490727141541,1.3669473858324754,1.457543341309066
동작구,3574087,2088776,9.02052915447848,5.271798029867472,0.820111201689983,4.451686828177489
마포구,5974796,5143905,15.936401584359121,13.720189909712868,1.1135243988637424,12.606665510849126
서대문구,3462782.7,270531,11.070277173913045,0.864868925831202,0.29546035805626597,0.5694085677749361
서초구,15620528,1986363,35.412507764644005,4.503182937279813,2.58215786824816,1.9210250690316526
성동구,1317841.6,1113416,4.323513818534947,3.652843757381696,1.0155278076690901,2.637315949712606
성북구,6802633,1075072,15.319347828534754,2.4210334305435137,0.16242132168312484,2.258612108860389
송파구,5170130,5119837,7.780528400471937,7.704842467072789,0.5771095687558692,7.1277328983169195
양천구 ,3523777.5,1702242,7.479035517049627,3.6129206161891867,0.7358570658425907,2.877063550346596
영등포구,1309043,1276770,3.5518735585402252,3.464306064306064,2.4011477411477413,1.0631583231583233
용산구,2140729.5,1070645,9.341596083103147,4.6720209808824364,0.5655979856956463,4.10642299518679
은평구,11340601.7,2559322,23.296510844422897,5.257505228084159,0.45764327415703565,4.799861953927123
종로구,11061939,1615399,71.47340569877883,10.437416812043677,0.3274019512825483,10.11001486076113
중구,1912631.8,768850,15.214756302253617,6.116109427328195,1.2507775895122863,4.8653318378159085
중랑구,3619653,1488403,8.866787024834283,3.6460269556569154,0.20734838055390886,3.4386785751030065
